DATE,USA_BOT,USA_BC,USA_CPI,USA_EXPX,USA_IMPX,USA_CPIC,USA_NFIB
2010-04-29,-40857.6363636,58.7727272727,217.349727273,121.159090909,126.277272727,2.29090909091,86.8545454545
2010-04-30,-41034.0,58.9,217.353,121.2,126.3,2.3,86.8
2010-05-03,-40973.6190476,58.8714285714,217.355380952,121.261904762,126.366666667,2.29523809524,86.980952381
2010-05-04,-40913.2380952,58.8428571429,217.357761905,121.323809524,126.433333333,2.29047619048,87.1619047619
2010-05-05,-40852.8571429,58.8142857143,217.360142857,121.385714286,126.5,2.28571428571,87.3428571429
2010-05-06,-40792.4761905,58.7857142857,217.36252381,121.447619048,126.566666667,2.28095238095,87.5238095238
2010-05-07,-40732.0952381,58.7571428571,217.364904762,121.50952381,126.633333333,2.27619047619,87.7047619048
2010-05-10,-40671.7142857,58.7285714286,217.367285714,121.571428571,126.7,2.27142857143,87.8857142857
2010-05-11,-40611.3333333,58.7,217.369666667,121.633333333,126.766666667,2.26666666667,88.0666666667
2010-05-12,-40550.952381,58.6714285714,217.372047619,121.695238095,126.833333333,2.2619047619,88.2476190476
2010-05-13,-40490.5714286,58.6428571429,217.374428571,121.757142857,126.9,2.25714285714,88.4285714286
2010-05-14,-40430.1904762,58.6142857143,217.376809524,121.819047619,126.966666667,2.25238095238,88.6095238095
2010-05-17,-40369.8095238,58.5857142857,217.379190476,121.880952381,127.033333333,2.24761904762,88.7904761905
2010-05-18,-40309.4285714,58.5571428571,217.381571429,121.942857143,127.1,2.24285714286,88.9714285714
2010-05-19,-40249.047619,58.5285714286,217.383952381,122.004761905,127.166666667,2.2380952381,89.1523809524
2010-05-20,-40188.6666667,58.5,217.386333333,122.066666667,127.233333333,2.23333333333,89.3333333333
2010-05-21,-40128.2857143,58.4714285714,217.388714286,122.128571429,127.3,2.22857142857,89.5142857143
2010-05-24,-40067.9047619,58.4428571429,217.391095238,122.19047619,127.366666667,2.22380952381,89.6952380952
2010-05-25,-40007.5238095,58.4142857143,217.39347619,122.252380952,127.433333333,2.21904761905,89.8761904762
2010-05-26,-39947.1428571,58.3857142857,217.395857143,122.314285714,127.5,2.21428571429,90.0571428571
2010-05-27,-39886.7619048,58.3571428571,217.398238095,122.376190476,127.566666667,2.20952380952,90.2380952381
2010-05-28,-39826.3809524,58.3285714286,217.400619048,122.438095238,127.633333333,2.20476190476,90.419047619
2010-05-31,-39766.0,58.3,217.403,122.5,127.7,2.2,90.6
2010-06-01,-39815.9090909,58.3,217.397863636,122.527272727,127.654545455,2.19090909091,90.6727272727
2010-06-02,-39865.8181818,58.3,217.392727273,122.554545455,127.609090909,2.18181818182,90.7454545455
2010-06-03,-39915.7272727,58.3,217.387590909,122.581818182,127.563636364,2.17272727273,90.8181818182
2010-06-04,-39965.6363636,58.3,217.382454545,122.609090909,127.518181818,2.16363636364,90.8909090909
2010-06-07,-40015.5454545,58.3,217.377318182,122.636363636,127.472727273,2.15454545455,90.9636363636
2010-06-08,-40065.4545455,58.3,217.372181818,122.663636364,127.427272727,2.14545454545,91.0363636364
2010-06-09,-40115.3636364,58.3,217.367045455,122.690909091,127.381818182,2.13636363636,91.1090909091
2010-06-10,-40165.2727273,58.3,217.361909091,122.718181818,127.336363636,2.12727272727,91.1818181818
2010-06-11,-40215.1818182,58.3,217.356772727,122.745454545,127.290909091,2.11818181818,91.2545454545
2010-06-14,-40265.0909091,58.3,217.351636364,122.772727273,127.245454545,2.10909090909,91.3272727273
2010-06-15,-40315.0,58.3,217.3465,122.8,127.2,2.1,91.4
2010-06-16,-40364.9090909,58.3,217.341363636,122.827272727,127.154545455,2.09090909091,91.4727272727
2010-06-17,-40414.8181818,58.3,217.336227273,122.854545455,127.109090909,2.08181818182,91.5454545455
2010-06-18,-40464.7272727,58.3,217.331090909,122.881818182,127.063636364,2.07272727273,91.6181818182
